"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000006788.14","HAVANA","gene",NA,NA,"ENSG00000006788.14","protein_coding","MYH13","2","HGNC:7571","OTTHUMG00000177987.6",-3.53290735238245,-1.65125564187728,-5.4587203584244,7.33003499200774e-08,8.18132695895962e-05,7.45569543531895
"ENSG00000180785.10","HAVANA","gene",NA,NA,"ENSG00000180785.10","protein_coding","OR51E1","1","HGNC:15194","OTTHUMG00000157024.4",-2.49928354437631,0.704596613110171,-5.45014185009268,7.67309711476959e-08,8.18132695895962e-05,7.42712503356223
"ENSG00000173531.15","HAVANA","gene",NA,NA,"ENSG00000173531.15","protein_coding","MST1","1","HGNC:7380","OTTHUMG00000155918.6",1.98586885300155,1.51552577463755,5.41087491825704,9.45288068314871e-08,9.51905084793075e-05,7.49262386464569
"ENSG00000133110.15","HAVANA","gene",NA,NA,"ENSG00000133110.15","protein_coding","POSTN","2","HGNC:16953","OTTHUMG00000016751.3",-3.13957172672117,9.67542529380176,-5.39845845111912,1.00947641762802e-07,9.63040502417128e-05,7.40151748600103
"ENSG00000105737.9","HAVANA","gene",NA,NA,"ENSG00000105737.9","protein_coding","GRIK5","2","HGNC:4583","OTTHUMG00000044573.2",2.30298146694435,0.0618090961552368,5.37853818086221,1.12138942170756e-07,0.000101631523289356,7.28136581332689
"ENSG00000163032.12","HAVANA","gene",NA,NA,"ENSG00000163032.12","protein_coding","VSNL1","2","HGNC:12722","OTTHUMG00000090645.6",-4.52920794327048,1.60835627878726,-5.27592344876615,1.91742482395808e-07,0.000165501154090782,6.60512117579184
"ENSG00000103449.12","HAVANA","gene",NA,NA,"ENSG00000103449.12","protein_coding","SALL1","1","HGNC:10524","OTTHUMG00000133176.4",-3.73792650796763,0.285528477263947,-5.22155859565403,2.53869963573773e-07,0.000209165770897191,6.35571936483529
"ENSG00000126218.12","HAVANA","gene",NA,NA,"ENSG00000126218.12","protein_coding","F10","1","HGNC:3528","OTTHUMG00000017374.8",2.11348503632897,0.095657605074779,5.17544522393937,3.21492193928522e-07,0.000253363804658625,6.31116748282622
"ENSG00000184925.12","HAVANA","gene",NA,NA,"ENSG00000184925.12","protein_coding","LCN12","2","HGNC:28733","OTTHUMG00000020968.6",2.75238490962826,0.272476755799058,5.12978056307698,4.05486490339983e-07,0.000306243671829272,6.13082782101862
"ENSG00000248994.2","HAVANA","gene",NA,NA,"ENSG00000248994.2","lncRNA","AC124852.1","1",NA,"OTTHUMG00000161604.9",-4.2021951658432,-0.501923141088263,-5.04525979203713,6.20254739672044e-07,0.000442555535769381,5.56563886066241
"ENSG00000155886.11","HAVANA","gene",NA,NA,"ENSG00000155886.11","protein_coding","SLC24A2","2","HGNC:10976","OTTHUMG00000019646.2",-4.97544205366283,1.52490820886037,-5.04061509236859,6.34803262165062e-07,0.000442555535769381,5.54614305573409
"ENSG00000006534.16","HAVANA","gene",NA,NA,"ENSG00000006534.16","protein_coding","ALDH3B1","2","HGNC:410","OTTHUMG00000154910.7",1.54521258595655,3.7799083660581,4.93747519438576,1.05733696667002e-06,0.00070982555029114,5.20220045436788
"ENSG00000178776.5","HAVANA","gene",NA,NA,"ENSG00000178776.5","protein_coding","C5orf46","2","HGNC:33768","OTTHUMG00000163420.2",-4.74052983415706,0.981195516071219,-4.89938758372876,1.27367257671135e-06,0.000824521040195356,4.9311941986698
"ENSG00000137745.12","HAVANA","gene",NA,NA,"ENSG00000137745.12","protein_coding","MMP13","1","HGNC:7159","OTTHUMG00000165850.3",-7.10371714425781,3.52094992651475,-4.88159504566246,1.38880965671791e-06,0.000868053925436854,4.85674140089576
"ENSG00000103241.7","HAVANA","gene",NA,NA,"ENSG00000103241.7","protein_coding","FOXF1","1","HGNC:3809","OTTHUMG00000137651.5",2.06668399505109,-0.851962800171015,4.87226235718061,1.45315142097938e-06,0.000877994088555741,4.89366095400678
"ENSG00000054803.4","HAVANA","gene",NA,NA,"ENSG00000054803.4","protein_coding","CBLN4","2","HGNC:16231","OTTHUMG00000032782.3",-3.88299837023387,-1.13298953268958,-4.86317733813245,1.51854093319638e-06,0.000887905579197343,4.77551051814056
"ENSG00000280241.4","HAVANA","gene",NA,NA,"ENSG00000280241.4","lncRNA","AC079298.3","2",NA,"OTTHUMG00000189143.2",-3.1044624442899,-1.40865789783259,-4.81898862384248,1.87919945171177e-06,0.00103615705258915,4.58771699318485
"ENSG00000124343.14","HAVANA","gene",NA,NA,"ENSG00000124343.14","protein_coding","XG","2","HGNC:12806","OTTHUMG00000021075.4",-3.02665610055489,1.74421266661975,-4.81819064522198,1.88641634863963e-06,0.00103615705258915,4.60117248535925
"ENSG00000161944.16","HAVANA","gene",NA,NA,"ENSG00000161944.16","protein_coding","ASGR2","2","HGNC:743","OTTHUMG00000102158.4",2.21638214542998,-1.44205783533084,4.77741090900291,2.29296903630119e-06,0.00121232768001191,4.46927102683576
"ENSG00000137077.8","HAVANA","gene",NA,NA,"ENSG00000137077.8","protein_coding","CCL21","2","HGNC:10620","OTTHUMG00000019838.2",3.68202689278036,1.41241951381953,4.77306940982857,2.34091740044229e-06,0.00121232768001191,4.46740165192957
"ENSG00000164989.17","HAVANA","gene",NA,NA,"ENSG00000164989.17","protein_coding","CCDC171","2","HGNC:29828","OTTHUMG00000019584.7",-1.63097402976572,2.28392566357351,-4.74212575444269,2.71172875919926e-06,0.00136535543025683,4.31836408996707
"ENSG00000203805.11","HAVANA","gene",NA,NA,"ENSG00000203805.11","protein_coding","PLPP4","2","HGNC:23531","OTTHUMG00000019168.4",-4.29286794737224,2.41533345225019,-4.73125826965463,2.85489850087159e-06,0.00139859162775131,4.2265712505932
"ENSG00000189320.9","HAVANA","gene",NA,NA,"ENSG00000189320.9","protein_coding","FAM180A","2","HGNC:33773","OTTHUMG00000155537.5",-3.16486291866709,1.01644983238256,-4.71195451915869,3.12733019246312e-06,0.00149173650180491,4.14206234844093
"ENSG00000044524.11","HAVANA","gene",NA,NA,"ENSG00000044524.11","protein_coding","EPHA3","2","HGNC:3387","OTTHUMG00000159040.2",2.33745900777842,1.64498276327665,4.68580234354251,3.53656129583167e-06,0.00164368487303192,4.12151892994509
"ENSG00000230479.1","HAVANA","gene",NA,NA,"ENSG00000230479.1","lncRNA","AP000695.1","2",NA,"OTTHUMG00000086643.1",-2.53137869620618,-0.965947129721055,-4.67632568341842,3.6971929232134e-06,0.00167538297315415,3.99236728442093
"ENSG00000140320.12","HAVANA","gene",NA,NA,"ENSG00000140320.12","protein_coding","BAHD1","2","HGNC:29153","OTTHUMG00000129982.3",0.943693668233371,5.0131466371441,4.66100265474226,3.97186139636193e-06,0.00175595023586479,3.94522268521171
"ENSG00000118473.22","HAVANA","gene",NA,NA,"ENSG00000118473.22","protein_coding","SGIP1","2","HGNC:25412","OTTHUMG00000009161.9",-2.72675089887506,2.53591801765935,-4.65067248393741,4.16798796700227e-06,0.00179878452118769,3.9197765052025
"ENSG00000137273.6","HAVANA","gene",NA,NA,"ENSG00000137273.6","protein_coding","FOXF2","2","HGNC:3810","OTTHUMG00000016243.3",-2.3651028662044,1.10972257096697,-4.62742062167051,4.64406796320455e-06,0.00191614781643764,3.8059401652085
"ENSG00000132740.10","HAVANA","gene",NA,NA,"ENSG00000132740.10","protein_coding","IGHMBP2","1","HGNC:5542","OTTHUMG00000167894.2",1.1624861739354,4.23878015516081,4.6270827188012,4.65135738294472e-06,0.00191614781643764,3.81062674142465
"ENSG00000165379.13","HAVANA","gene",NA,NA,"ENSG00000165379.13","protein_coding","LRFN5","2","HGNC:20360","OTTHUMG00000140261.4",-3.24431591331386,-1.07250393091062,-4.62135176194598,4.77667533597057e-06,0.00192404482532894,3.76727180346407
"ENSG00000142661.19","HAVANA","gene",NA,NA,"ENSG00000142661.19","protein_coding","MYOM3","2","HGNC:26679","OTTHUMG00000002969.4",-2.32126782706091,-0.0504703161696243,-4.60430855155425,5.16881076965466e-06,0.00203673617414696,3.69876254064738
"ENSG00000109705.8","HAVANA","gene",NA,NA,"ENSG00000109705.8","protein_coding","NKX3-2","2","HGNC:951","OTTHUMG00000090657.4",-3.46832640265219,-0.688659550816838,-4.554896375417,6.48822691988212e-06,0.00246697263552217,3.49851547217516
"ENSG00000174332.5","HAVANA","gene",NA,NA,"ENSG00000174332.5","protein_coding","GLIS1","2","HGNC:29525","OTTHUMG00000008079.2",-2.82639667032846,-0.854886101637446,-4.55339920200876,6.53286364918151e-06,0.00246697263552217,3.49246948545845
"ENSG00000104413.18","HAVANA","gene",NA,NA,"ENSG00000104413.18","protein_coding","ESRP1","1","HGNC:25966","OTTHUMG00000164587.4",-1.45975649087768,7.42336708585937,-4.53599859901966,7.07373696835327e-06,0.00258293219792193,3.40387732702941
"ENSG00000129048.7","HAVANA","gene",NA,NA,"ENSG00000129048.7","protein_coding","ACKR4","2","HGNC:1611","OTTHUMG00000159768.4",-2.60483852462874,0.259349690550243,-4.53441813852938,7.12493710118594e-06,0.00258293219792193,3.4172014475137
"ENSG00000118004.18","HAVANA","gene",NA,NA,"ENSG00000118004.18","protein_coding","COLEC11","2","HGNC:17213","OTTHUMG00000090304.9",2.75549426480356,-1.20198165590366,4.50986986712704,7.96730798806817e-06,0.00283167499199458,3.38291196954721
"ENSG00000083307.12","HAVANA","gene",NA,NA,"ENSG00000083307.12","protein_coding","GRHL2","2","HGNC:2799","OTTHUMG00000149915.5",-1.35756745543002,6.63678086029583,-4.4967780678059,8.45477578034451e-06,0.00294713972681778,3.25558501306128
"ENSG00000130649.10","HAVANA","gene",NA,NA,"ENSG00000130649.10","protein_coding","CYP2E1","2","HGNC:2631","OTTHUMG00000019322.6",2.29589381271273,-0.24979707351212,4.47684182318371,9.25238959674665e-06,0.00316431724208735,3.2581069843072
"ENSG00000105656.13","HAVANA","gene",NA,NA,"ENSG00000105656.13","protein_coding","ELL","2","HGNC:23114","OTTHUMG00000183364.9",0.691796419501068,4.33291689712358,4.46567238739579,9.73026327906918e-06,0.00326612504067422,3.13452644628945
"ENSG00000140557.12","HAVANA","gene",NA,NA,"ENSG00000140557.12","protein_coding","ST8SIA2","2","HGNC:10870","OTTHUMG00000149843.5",-4.01772734032472,-0.560297657397865,-4.44875525221952,1.04993298533444e-05,0.00341256346224431,3.07660602961737
"ENSG00000188130.14","HAVANA","gene",NA,NA,"ENSG00000188130.14","protein_coding","MAPK12","2","HGNC:6874","OTTHUMG00000030145.5",1.62734793363276,2.4479396144123,4.44782929538911,1.05430626660974e-05,0.00341256346224431,3.10677042251778
"ENSG00000170549.4","HAVANA","gene",NA,NA,"ENSG00000170549.4","protein_coding","IRX1","2","HGNC:14358","OTTHUMG00000161632.2",-4.75713541150558,0.793732047412003,-4.43659582072441,1.10877073088304e-05,0.00352589092420807,3.02913985235756
"ENSG00000176887.7","HAVANA","gene",NA,NA,"ENSG00000176887.7","protein_coding","SOX11","2","HGNC:11191","OTTHUMG00000090333.2",-5.70176323196904,2.13980060361218,-4.42649223519252,1.16004929625734e-05,0.00362535405930354,2.99012085931019
"ENSG00000164932.13","HAVANA","gene",NA,NA,"ENSG00000164932.13","protein_coding","CTHRC1","1","HGNC:18831","OTTHUMG00000164887.2",-2.574061125081,6.30192063417097,-4.41851691375039,1.20212162828928e-05,0.00369316214141891,2.99839378664022
"ENSG00000244734.4","HAVANA","gene",NA,NA,"ENSG00000244734.4","protein_coding","HBB","2","HGNC:4827","OTTHUMG00000066678.8",2.36227920009354,1.50631933220362,4.38967825986611,1.36677643843436e-05,0.00412903162051022,2.87539894560432
"ENSG00000268941.2","HAVANA","gene",NA,NA,"ENSG00000268941.2","lncRNA","LINC01711","2","HGNC:28663","OTTHUMG00000187341.1",-2.61588670165861,-0.851725745450317,-4.36603361623545,1.51766176400521e-05,0.00450969461218991,2.75409510210984
"ENSG00000110427.17","HAVANA","gene",NA,NA,"ENSG00000110427.17","protein_coding","KIAA1549L","1","HGNC:24836","OTTHUMG00000150410.8",-3.49706315146809,3.47719530270203,-4.35479873371009,1.59481730003297e-05,0.00466252554522541,2.73596520151876
"ENSG00000106351.13","HAVANA","gene",NA,NA,"ENSG00000106351.13","protein_coding","AGFG2","2","HGNC:5177","OTTHUMG00000156029.2",1.0731043183887,4.08768086387286,4.33920593355034,1.7081365574744e-05,0.00491455289536206,2.60556182051696
"ENSG00000153707.17","HAVANA","gene",NA,NA,"ENSG00000153707.17","protein_coding","PTPRD","2","HGNC:9668","OTTHUMG00000021005.6",-3.30191422734227,2.74424744591357,-4.31210128707653,1.92365816287431e-05,0.00539907704290841,2.56478973444366
"ENSG00000013563.14","HAVANA","gene",NA,NA,"ENSG00000013563.14","protein_coding","DNASE1L1","1","HGNC:2957","OTTHUMG00000033188.30",0.832148594922594,3.18688920146502,4.31062493278629,1.93611391255129e-05,0.00539907704290841,2.54832853254532
"ENSG00000205436.7","HAVANA","gene",NA,NA,"ENSG00000205436.7","protein_coding","EXOC3L4","2","HGNC:20120","OTTHUMG00000171888.2",2.99615034442999,-1.42797137976501,4.22923450502571,2.75549604662303e-05,0.00756759414258925,2.27200751718256
"ENSG00000149922.11","HAVANA","gene",NA,NA,"ENSG00000149922.11","protein_coding","TBX6","2","HGNC:11605","OTTHUMG00000132115.6",1.49576962212218,0.940010239099381,4.21192341659002,2.96810716370276e-05,0.00799604043292485,2.20905985508634
"ENSG00000248441.7","HAVANA","gene",NA,NA,"ENSG00000248441.7","lncRNA","LINC01197","2","HGNC:49597","OTTHUMG00000171818.21",1.8893233312832,-0.871094587934538,4.20945035266755,2.99972828775731e-05,0.00799604043292485,2.18975877215691
"ENSG00000136098.17","HAVANA","gene",NA,NA,"ENSG00000136098.17","protein_coding","NEK3","1","HGNC:7746","OTTHUMG00000016958.10",0.963024566829997,2.99014441767775,4.20375666392119,3.07375397268775e-05,0.00807461804477364,2.12493044794661
"ENSG00000158104.11","HAVANA","gene",NA,NA,"ENSG00000158104.11","protein_coding","HPD","2","HGNC:5147","OTTHUMG00000169081.3",2.34189188220044,-1.82849114670085,4.19431791634247,3.20031955144278e-05,0.00826150605650946,2.1261899239673
"ENSG00000204866.8","HAVANA","gene",NA,NA,"ENSG00000204866.8","protein_coding","IGFL2","2","HGNC:32929","OTTHUMG00000182492.1",-3.55157130627245,-0.276194823535301,-4.18999057982346,3.25999135513179e-05,0.00826150605650946,2.08661378532991
"ENSG00000143387.14","HAVANA","gene",NA,NA,"ENSG00000143387.14","protein_coding","CTSK","2","HGNC:2536","OTTHUMG00000035008.4",-2.19748047197587,7.280944681902,-4.18843991922084,3.28163100556483e-05,0.00826150605650946,1.99978876558589
"ENSG00000266714.9","HAVANA","gene",NA,NA,"ENSG00000266714.9","protein_coding","MYO15B","2","HGNC:14083","OTTHUMG00000179794.10",1.54700421901447,4.3164292113199,4.18401003456381,3.34420694987393e-05,0.00830371166759107,1.95881943335277
"ENSG00000119888.11","HAVANA","gene",NA,NA,"ENSG00000119888.11","protein_coding","EPCAM","1","HGNC:11529","OTTHUMG00000128853.10",-1.56288487083661,7.91625271316148,-4.17230091227833,3.51512746402091e-05,0.00861016221795176,1.90332228300639
"ENSG00000165474.8","HAVANA","gene",NA,NA,"ENSG00000165474.8","protein_coding","GJB2","2","HGNC:4284","OTTHUMG00000016513.5",-4.80004548571123,4.77217557865718,-4.16074563319013,3.69193657953151e-05,0.00883652650716143,1.99686524872154
"ENSG00000272398.6","HAVANA","gene",NA,NA,"ENSG00000272398.6","protein_coding","CD24","2","HGNC:1645","OTTHUMG00000188439.3",-2.84663500103603,9.43673724305727,-4.15991020418869,3.70504256065469e-05,0.00883652650716143,1.85305582343872
"ENSG00000152760.10","HAVANA","gene",NA,NA,"ENSG00000152760.10","protein_coding","TCTEX1D1","2","HGNC:26882","OTTHUMG00000009162.4",-1.61720348249726,-1.09700244073914,-4.155206610421,3.77966189426415e-05,0.00889742227213401,1.95764438988632
"ENSG00000138356.14","HAVANA","gene",NA,NA,"ENSG00000138356.14","protein_coding","AOX1","1","HGNC:553","OTTHUMG00000154536.6",2.05176514374545,2.45607727003548,4.13023964786859,4.20030271908927e-05,0.00976085731874514,1.80349680053437
"ENSG00000139636.15","HAVANA","gene",NA,NA,"ENSG00000139636.15","protein_coding","LMBR1L","1","HGNC:18268","OTTHUMG00000150511.4",0.714560891440115,4.39448792325323,4.11515577226912,4.47563060554242e-05,0.0102690228298813,1.71319169627839
"ENSG00000197614.11","HAVANA","gene",NA,NA,"ENSG00000197614.11","protein_coding","MFAP5","1","HGNC:29673","OTTHUMG00000168703.4",-4.26588682908407,5.02910974247922,-4.08957759890502,4.98214691207848e-05,0.0112882993660418,1.73946761499005
"ENSG00000188536.13","HAVANA","gene",NA,NA,"ENSG00000188536.13","protein_coding","HBA2","2","HGNC:4824","OTTHUMG00000059924.3",2.68873619147488,-0.992040607245865,4.08137670370494,5.15576804518596e-05,0.0115374631588939,1.71560966829757
"ENSG00000116132.12","HAVANA","gene",NA,NA,"ENSG00000116132.12","protein_coding","PRRX1","1","HGNC:9142","OTTHUMG00000035231.7",-2.21849705527256,6.45373931861693,-4.03643022910668,6.21412265214235e-05,0.0137362423405771,1.46095725972254
"ENSG00000029559.7","HAVANA","gene",NA,NA,"ENSG00000029559.7","protein_coding","IBSP","2","HGNC:5341","OTTHUMG00000130600.4",-3.62196796414065,0.660605876049261,-4.01620998727879,6.75477359299993e-05,0.0147514489333394,1.45286058299801
"ENSG00000123610.5","HAVANA","gene",NA,NA,"ENSG00000123610.5","protein_coding","TNFAIP6","2","HGNC:11898","OTTHUMG00000131884.4",-2.31041623649756,3.28230531901221,-4.0066108742275,7.02678733838138e-05,0.0151628032494644,1.43780107441488
"ENSG00000151692.15","HAVANA","gene",NA,NA,"ENSG00000151692.15","protein_coding","RNF144A","2","HGNC:20457","OTTHUMG00000090353.8",-2.05966352880149,4.72156078105845,-4.0003084700632,7.2109977180914e-05,0.0153772405456617,1.40378581390549
"ENSG00000138435.16","HAVANA","gene",NA,NA,"ENSG00000138435.16","protein_coding","CHRNA1","1","HGNC:1955","OTTHUMG00000132357.4",-2.75854896219695,-0.0481542825714943,-3.99550781887241,7.35437761261213e-05,0.0155006335588613,1.37894135259218
"ENSG00000104213.13","HAVANA","gene",NA,NA,"ENSG00000104213.13","protein_coding","PDGFRL","1","HGNC:8805","OTTHUMG00000130818.6",-2.90292925218441,4.09723630326146,-3.9886021321697,7.56537762056528e-05,0.0156203561758601,1.37410982594251
"ENSG00000153531.13","HAVANA","gene",NA,NA,"ENSG00000153531.13","protein_coding","ADPRHL1","2","HGNC:21303","OTTHUMG00000017386.7",1.36228544804475,2.69160519603597,3.98801647196945,7.58353383799896e-05,0.0156203561758601,1.29303964011673
"ENSG00000003436.16","HAVANA","gene",NA,NA,"ENSG00000003436.16","protein_coding","TFPI","2","HGNC:11760","OTTHUMG00000132634.8",1.62755598827992,3.72487808113768,3.98402782732553,7.70829028284629e-05,0.015698929176053,1.20167923568951
"ENSG00000175482.9","HAVANA","gene",NA,NA,"ENSG00000175482.9","protein_coding","POLD4","1","HGNC:14106","OTTHUMG00000167135.5",1.10268218935588,2.54764373316995,3.97963438131559,7.84795945911478e-05,0.0158057903506572,1.28533066813008
"ENSG00000179523.5","HAVANA","gene",NA,NA,"ENSG00000179523.5","lncRNA","EIF3J-DT","2","HGNC:48616","OTTHUMG00000171875.3",0.943505836850272,2.69904676645038,3.97670205697277,7.94251049492826e-05,0.0158204335418758,1.27492382940846
"ENSG00000164604.13","HAVANA","gene",NA,NA,"ENSG00000164604.13","protein_coding","GPR85","2","HGNC:4536","OTTHUMG00000156933.4",-1.47647942062764,0.562494211094398,-3.94755848646295,8.94279969401565e-05,0.0176192594841008,1.21584232700627
"ENSG00000009724.17","HAVANA","gene",NA,NA,"ENSG00000009724.17","protein_coding","MASP2","2","HGNC:6902","OTTHUMG00000002121.2",1.61779952132361,-0.205513960858632,3.93405085785031,9.44586517168212e-05,0.0184102959249366,1.17815813734415
"ENSG00000117594.10","HAVANA","gene",NA,NA,"ENSG00000117594.10","protein_coding","HSD11B1","2","HGNC:5208","OTTHUMG00000036481.6",2.08082867557052,0.697128322221759,3.92767122629456,9.69267225702865e-05,0.0186903592905214,1.13409252899181
"ENSG00000110697.13","HAVANA","gene",NA,NA,"ENSG00000110697.13","protein_coding","PITPNM1","1","HGNC:9003","OTTHUMG00000167675.5",1.32570744774699,4.49950417997771,3.92362494349509,9.85236084205564e-05,0.0187983044866422,0.958831434624168
"ENSG00000253320.7","HAVANA","gene",NA,NA,"ENSG00000253320.7","lncRNA","MAILR","1","HGNC:51558","OTTHUMG00000164825.6",1.26001516656593,2.01871975469806,3.91868088368732,0.000100508622766686,0.0189772843361349,1.08161615588029
"ENSG00000141505.12","HAVANA","gene",NA,NA,"ENSG00000141505.12","protein_coding","ASGR1","2","HGNC:742","OTTHUMG00000102159.7",1.67374286161818,-0.499507699328693,3.9003613869338,0.00010819880910808,0.02012233471012,1.05807414248126
"ENSG00000073060.16","HAVANA","gene",NA,NA,"ENSG00000073060.16","protein_coding","SCARB1","2","HGNC:1664","OTTHUMG00000168544.4",1.4852149811437,6.01738063218309,3.89899679744624,0.000108793379763421,0.02012233471012,0.857888580140836
"ENSG00000250320.6","HAVANA","gene",NA,NA,"ENSG00000250320.6","lncRNA","EDIL3-DT","2","HGNC:40204","OTTHUMG00000162622.4",-2.57799948253628,-0.886137791807346,-3.89532614407491,0.000110408113187184,0.0202147218144535,1.0266392268584
"ENSG00000198959.12","HAVANA","gene",NA,NA,"ENSG00000198959.12","protein_coding","TGM2","2","HGNC:11778","OTTHUMG00000032437.5",1.82178758259903,6.14368030812156,3.87594122007973,0.000119318444388112,0.0216276612297892,0.77858181347306
"ENSG00000233008.6","HAVANA","gene",NA,NA,"ENSG00000233008.6","lncRNA","LINC01725","2","HGNC:52513","OTTHUMG00000009930.2",-1.99288652097874,-1.05000866609454,-3.85957407954678,0.000127366842047542,0.0228579344450866,0.902964421020599
"ENSG00000090006.18","HAVANA","gene",NA,NA,"ENSG00000090006.18","protein_coding","LTBP4","2","HGNC:6717","OTTHUMG00000182635.12",1.26133401936564,5.12992344200533,3.85256159861861,0.000130969879925633,0.0232741180738434,0.685606098466304
"ENSG00000087245.13","HAVANA","gene",NA,NA,"ENSG00000087245.13","protein_coding","MMP2","1","HGNC:7166","OTTHUMG00000133202.6",-1.98620309695401,8.2395944028038,-3.84312847791784,0.000135968771080133,0.0239278635397913,0.651716103430784
"ENSG00000130270.16","HAVANA","gene",NA,NA,"ENSG00000130270.16","protein_coding","ATP8B3","2","HGNC:13535","OTTHUMG00000166189.12",1.72103230261733,1.14817847269366,3.83011284689352,0.000143162699283381,0.024951606607794,0.781645443278765
"ENSG00000120332.16","HAVANA","gene",NA,NA,"ENSG00000120332.16","protein_coding","TNN","2","HGNC:22942","OTTHUMG00000034882.2",-3.6573381915488,2.12422303969012,-3.82604801206018,0.000145482068752877,0.0251143616972823,0.790799467220437
"ENSG00000167754.13","HAVANA","gene",NA,NA,"ENSG00000167754.13","protein_coding","KLK5","2","HGNC:6366","OTTHUMG00000183097.6",-6.33709983186999,0.759853190126053,-3.7969194829416,0.000163170751705802,0.027566681799895,0.68894586935283
"ENSG00000261327.5","HAVANA","gene",NA,NA,"ENSG00000261327.5","lncRNA","AC134312.5","2",NA,"OTTHUMG00000175543.3",-2.40699381057856,-0.0325560624270515,-3.7966732552718,0.000163328581785432,0.027566681799895,0.688132017152858
"ENSG00000101115.13","HAVANA","gene",NA,NA,"ENSG00000101115.13","protein_coding","SALL4","1","HGNC:15924","OTTHUMG00000032752.6",-2.23561111345024,1.49163570495652,-3.79523970894529,0.000164250338430357,0.027566681799895,0.687865881679492
