"","Gene","gene_id","gene_type","logFC.x","P.Value.x","adj.P.Val.x","chr","Name","Relation_to_Island","Gene_Group","logFC.y","P.Value.y","adj.P.Val.y","Gene_expression","DNA_Methylation"
"11","ACVR2A","ENSG00000121989.15","protein_coding",-0.906857128314932,0.00448997543245314,0.195637727616936,"chr2","cg21579828","Island","TSS1500",0.960819482402738,0.0097253767267265,0.234127419523783,"Down","Hyper"
"12","ADAM12","ENSG00000148848.14","protein_coding",-1.77867210624232,0.00318134057314628,0.165929723113351,"chr10","cg19997196","OpenSea","Body",-1.93723009667968,0.00454372334012395,0.157912607044101,"Down","Hypo"
"13","ADAM12","ENSG00000148848.14","protein_coding",-1.77867210624232,0.00318134057314628,0.165929723113351,"chr10","cg07251141","OpenSea","Body",-2.53130009567354,0.0104645171756566,0.243724335439897,"Down","Hypo"
"14","ADAM12","ENSG00000148848.14","protein_coding",-1.77867210624232,0.00318134057314628,0.165929723113351,"chr10","cg25238274","OpenSea","Body",-2.08761238871386,0.00505865842200938,0.167323859011776,"Down","Hypo"
"15","ADAM12","ENSG00000148848.14","protein_coding",-1.77867210624232,0.00318134057314628,0.165929723113351,"chr10","cg05181041","Island","1stExon",-1.86281846565652,0.0395290055823144,0.4481751143382,"Down","Hypo"
"16","ADAMTS14","ENSG00000138316.11","protein_coding",-1.45305577955227,0.00961853341591063,0.278486102256968,"chr10","cg17289597","S_Shore","Body",-1.23969276317738,0.0195255460823496,0.327943240297239,"Down","Hypo"
"17","ADAMTS14","ENSG00000138316.11","protein_coding",-1.45305577955227,0.00961853341591063,0.278486102256968,"chr10","cg02503850","Island","TSS200",-1.26369357191978,0.047976299806741,0.4834018845334,"Down","Hypo"
"18","ADAMTS5","ENSG00000154736.6","protein_coding",-1.27850651929884,0.0263817684031405,0.419102483852169,"chr21","cg08979041","Island","1stExon",-1.12155836753308,0.0428380270301747,0.462846951338058,"Down","Hypo"
"19","ADAMTS5","ENSG00000154736.6","protein_coding",-1.27850651929884,0.0263817684031405,0.419102483852169,"chr21","cg12078031","Island","1stExon",-1.00587245042965,0.0387529104436451,0.444584170001997,"Down","Hypo"
"20","ADAMTSL1","ENSG00000178031.17","protein_coding",-1.21058486613567,0.0161852528423755,0.341996923141513,"chr9","cg13739410","OpenSea","Body",-1.65937148158198,0.0149096421281582,0.289592608353215,"Down","Hypo"
"21","ADAMTSL1","ENSG00000178031.17","protein_coding",-1.21058486613567,0.0161852528423755,0.341996923141513,"chr9","cg14523394","Island","Body",-1.31894038752789,0.00799301537984141,0.212632950648082,"Down","Hypo"
"22","ADAMTSL1","ENSG00000178031.17","protein_coding",-1.21058486613567,0.0161852528423755,0.341996923141513,"chr9","cg14003978","OpenSea","Body",-1.40643250113806,0.0116228992566992,0.256239415189311,"Down","Hypo"
"23","ADAMTSL1","ENSG00000178031.17","protein_coding",-1.21058486613567,0.0161852528423755,0.341996923141513,"chr9","cg13468759","OpenSea","Body",-1.42013049193686,0.0290008305475831,0.391797044055585,"Down","Hypo"
"24","ADAMTSL1","ENSG00000178031.17","protein_coding",-1.21058486613567,0.0161852528423755,0.341996923141513,"chr9","cg06500883","Island","Body",-1.13172052887916,0.0316166070229076,0.407302869269619,"Down","Hypo"
"25","ADAMTSL1","ENSG00000178031.17","protein_coding",-1.21058486613567,0.0161852528423755,0.341996923141513,"chr9","cg06294856","N_Shore","Body",-1.26481283902615,0.0337569088131442,0.419762105117213,"Down","Hypo"
"26","ADAMTSL1","ENSG00000178031.17","protein_coding",-1.21058486613567,0.0161852528423755,0.341996923141513,"chr9","cg13883376","OpenSea","Body",-1.23501320564831,0.0283511864998366,0.388015415268853,"Down","Hypo"
"27","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg23662138","S_Shore","5'UTR",2.30092937079775,0.0223125218137762,0.348260344658712,"Down","Hyper"
"28","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg25894939","Island","5'UTR",-2.22290067894931,5.28653038639057e-06,0.00240890763446509,"Down","Hypo"
"29","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg04233620","OpenSea","Body",-1.66999987716777,1.3231940843169e-05,0.00456040782137527,"Down","Hypo"
"30","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg14194835","OpenSea","Body",-1.8208640862756,0.000128506859755403,0.019988977164399,"Down","Hypo"
"31","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg12703219","S_Shore","5'UTR",-1.45447677209784,8.17686388212251e-07,0.000651958271592512,"Down","Hypo"
"32","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg18501409","Island","5'UTR",-1.20327977399711,0.00201190009104566,0.101221362547051,"Down","Hypo"
"33","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg23919038","Island","5'UTR",-1.32449557180924,6.17844765561616e-07,0.000529310132472006,"Down","Hypo"
"34","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg16358576","OpenSea","3'UTR",-1.30427370713639,0.000618186037339043,0.0517974502364012,"Down","Hypo"
"35","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg22635096","N_Shelf","5'UTR",-2.73361175530201,2.57057778528695e-06,0.0014582297237793,"Down","Hypo"
"36","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg24063645","Island","5'UTR",-1.75501138670061,2.04999034728741e-07,0.000234164679710488,"Down","Hypo"
"37","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg21217129","Island","5'UTR",-1.11440180025226,4.80794997808916e-05,0.0107214091981522,"Down","Hypo"
"38","ADARB1","ENSG00000197381.16","protein_coding",-0.782325129070981,0.003883211163113,0.183135682103294,"chr21","cg01603980","Island","5'UTR",-0.798316213185098,0.00426343248026636,0.152578369656617,"Down","Hypo"
"39","ADPRHL1","ENSG00000153531.13","protein_coding",1.36228544804475,7.58353383799896e-05,0.0156203561758601,"chr13","cg08133476","OpenSea","Body",-0.533649887130984,0.0196744789773461,0.329111422893215,"Up","Hypo"
"40","AGBL2","ENSG00000165923.16","protein_coding",0.98756562039398,0.0489437354313125,0.530535412329243,"chr11","cg25800328","N_Shore","Body",-1.87456952092336,0.0291484011054747,0.392585397370132,"Up","Hypo"
"41","AGBL5","ENSG00000084693.16","protein_coding",0.469936758771878,0.0495891282556241,0.53336664746972,"chr2","cg20724004","Island","1stExon",0.511059080162288,0.00190608675450847,0.0982226948892236,"Up","Hyper"
"42","AGER","ENSG00000204305.14","protein_coding",0.800375679575704,0.0243199634621188,0.404796747212457,"chr6","cg26505596","OpenSea","Body",-0.481980147949702,0.0476035405313918,0.482447753530671,"Up","Hypo"
"43","AGER","ENSG00000204305.14","protein_coding",0.800375679575704,0.0243199634621188,0.404796747212457,"chr6","cg26516499","OpenSea","Body",-0.51197058625105,0.0249821893949909,0.366834534311865,"Up","Hypo"
"44","AGER","ENSG00000204305.14","protein_coding",0.800375679575704,0.0243199634621188,0.404796747212457,"chr6","cg08328160","OpenSea","Body",-0.5776875742784,0.0240244511142069,0.360375351473194,"Up","Hypo"
"45","AGPAT4","ENSG00000026652.15","protein_coding",-1.14306979180537,0.0194749243863584,0.372136745294036,"chr6","cg02054200","OpenSea","Body",-1.03047629288338,0.0130012890168054,0.271069242405453,"Down","Hypo"
"46","AGPAT4","ENSG00000026652.15","protein_coding",-1.14306979180537,0.0194749243863584,0.372136745294036,"chr6","cg15778610","OpenSea","TSS1500",-1.3237951267173,0.0216821306089219,0.343546428786649,"Down","Hypo"
"47","ALDH5A1","ENSG00000112294.14","protein_coding",0.89559907379144,0.0264420636472227,0.419141581903062,"chr6","cg00346970","S_Shelf","Body",-0.620334255276674,0.048490848637861,0.485845954900518,"Up","Hypo"
"48","ALDH5A1","ENSG00000112294.14","protein_coding",0.89559907379144,0.0264420636472227,0.419141581903062,"chr6","cg18395531","N_Shore","TSS1500",-1.72293332943394,0.00468956945019576,0.160698908802374,"Up","Hypo"
"49","ANGEL1","ENSG00000013523.11","protein_coding",0.508489917800038,0.015632416874504,0.33825102010941,"chr14","cg05349242","OpenSea","3'UTR",-0.654818114403428,0.029579618828371,0.39526416408991,"Up","Hypo"
"50","ANKK1","ENSG00000170209.5","protein_coding",-1.27066003201917,0.0339568782203412,0.461709420135924,"chr11","cg06399569","OpenSea","3'UTR",-0.959572886962325,0.0424333322084798,0.460891396517008,"Down","Hypo"
"51","ANKRD13D","ENSG00000172932.16","protein_coding",0.673456192365143,0.00950424047727779,0.278140967742139,"chr11","cg09091424","S_Shore","Body",0.813808964518061,0.0277301451807633,0.384013772924618,"Up","Hyper"
"52","ANKRD6","ENSG00000135299.17","protein_coding",-0.829703644369801,0.032313146552529,0.455449529091089,"chr6","cg21619886","OpenSea","5'UTR",-1.23996034983323,0.0263305262249523,0.375313852519847,"Down","Hypo"
"53","ANKRD6","ENSG00000135299.17","protein_coding",-0.829703644369801,0.032313146552529,0.455449529091089,"chr6","cg00704819","OpenSea","Body",-1.32574567025162,0.00106069222182607,0.070436753636074,"Down","Hypo"
"54","ANKRD6","ENSG00000135299.17","protein_coding",-0.829703644369801,0.032313146552529,0.455449529091089,"chr6","cg26504263","OpenSea","5'UTR",-1.9371536609304,3.51921668051923e-05,0.00870929623718064,"Down","Hypo"
"55","ANKRD6","ENSG00000135299.17","protein_coding",-0.829703644369801,0.032313146552529,0.455449529091089,"chr6","cg02400146","OpenSea","Body",-1.0905154078283,0.0151230631015255,0.291429852255645,"Down","Hypo"
"56","ANKRD6","ENSG00000135299.17","protein_coding",-0.829703644369801,0.032313146552529,0.455449529091089,"chr6","cg07970821","OpenSea","Body",-1.11894310767974,0.00772894607560246,0.208833896747721,"Down","Hypo"
"57","ANO8","ENSG00000074855.11","protein_coding",0.65290144792749,0.0142244689398372,0.323687967141914,"chr19","cg24192660","Island","Body",-1.83571430230926,0.0178926530928516,0.315441960358347,"Up","Hypo"
"58","ANO8","ENSG00000074855.11","protein_coding",0.65290144792749,0.0142244689398372,0.323687967141914,"chr19","cg12526923","Island","Body",-2.85354004598703,0.0136101319240276,0.27662530577365,"Up","Hypo"
"59","ANO8","ENSG00000074855.11","protein_coding",0.65290144792749,0.0142244689398372,0.323687967141914,"chr19","cg17648101","Island","Body",-1.51108545438887,0.0167982752197525,0.306856501588397,"Up","Hypo"
"60","ANO8","ENSG00000074855.11","protein_coding",0.65290144792749,0.0142244689398372,0.323687967141914,"chr19","cg07086492","Island","Body",-1.66984143444647,0.0151282215912064,0.291479341798124,"Up","Hypo"
"61","ANO8","ENSG00000074855.11","protein_coding",0.65290144792749,0.0142244689398372,0.323687967141914,"chr19","cg00650809","Island","Body",-2.15035441083743,0.0192785956125248,0.326045838110641,"Up","Hypo"
"62","ANO8","ENSG00000074855.11","protein_coding",0.65290144792749,0.0142244689398372,0.323687967141914,"chr19","cg22813366","Island","Body",-1.19643151773615,0.0406874736910478,0.452945036454311,"Up","Hypo"
"63","AOC2","ENSG00000131480.9","protein_coding",1.13071348566904,0.0141883915370257,0.323687967141914,"chr17","cg19317715","OpenSea","TSS200",-1.08218587125045,0.0112365681568833,0.252120845101656,"Up","Hypo"
"64","AOC2","ENSG00000131480.9","protein_coding",1.13071348566904,0.0141883915370257,0.323687967141914,"chr17","cg08783253","OpenSea","TSS200",-0.87843429873407,0.0478698448486332,0.48296684058844,"Up","Hypo"
"65","AOC2","ENSG00000131480.9","protein_coding",1.13071348566904,0.0141883915370257,0.323687967141914,"chr17","cg18043280","OpenSea","1stExon",-0.494618832728898,0.0129881458926276,0.270884552156834,"Up","Hypo"
"66","AP1M2","ENSG00000129354.12","protein_coding",-1.14222286136229,0.00345578598703075,0.172291234432396,"chr19","cg18406556","N_Shelf","Body",-0.814829191971216,0.0176116727978043,0.31371974237037,"Down","Hypo"
"67","AP2A1","ENSG00000196961.13","protein_coding",0.59498571226303,0.00667743140934224,0.240964001886804,"chr19","cg25655859","Island","Body",-0.69808636777684,0.00653043830942924,0.190920522031775,"Up","Hypo"
"68","AP2A1","ENSG00000196961.13","protein_coding",0.59498571226303,0.00667743140934224,0.240964001886804,"chr19","cg07035552","Island","Body",-0.831150245067279,0.0251970141388882,0.36817178453033,"Up","Hypo"
"69","APCDD1","ENSG00000154856.13","protein_coding",-1.46789480430696,0.0131119889438496,0.319344383025303,"chr18","cg06077443","S_Shelf","Body",-1.21710173187854,0.0184394066120168,0.319612872966432,"Down","Hypo"
"70","APCDD1","ENSG00000154856.13","protein_coding",-1.46789480430696,0.0131119889438496,0.319344383025303,"chr18","cg06825512","N_Shore","TSS1500",-1.61575828699006,0.00550292159874926,0.175136007834038,"Down","Hypo"
"71","APCDD1","ENSG00000154856.13","protein_coding",-1.46789480430696,0.0131119889438496,0.319344383025303,"chr18","cg02839071","S_Shore","Body",-1.06244752111742,0.0334794595659804,0.418036742673044,"Down","Hypo"
"72","APCDD1","ENSG00000154856.13","protein_coding",-1.46789480430696,0.0131119889438496,0.319344383025303,"chr18","cg04229487","Island","Body",-1.34899104223525,0.0118768782287824,0.258982420739922,"Down","Hypo"
"73","APCDD1","ENSG00000154856.13","protein_coding",-1.46789480430696,0.0131119889438496,0.319344383025303,"chr18","cg13462387","Island","Body",-1.15229306661346,0.00201429222152509,0.101246220802248,"Down","Hypo"
"74","APCDD1","ENSG00000154856.13","protein_coding",-1.46789480430696,0.0131119889438496,0.319344383025303,"chr18","cg19264571","Island","TSS1500",-1.1030547579852,0.00998861406325658,0.237567725469924,"Down","Hypo"
"75","APCDD1","ENSG00000154856.13","protein_coding",-1.46789480430696,0.0131119889438496,0.319344383025303,"chr18","cg25611723","N_Shore","TSS1500",-1.01788577275041,0.0497258219138073,0.491055468629108,"Down","Hypo"
"76","APCDD1L","ENSG00000198768.11","protein_coding",-1.74232280716816,0.0420374536858263,0.502240097659196,"chr20","cg02544684","Island","Body",-1.45334903737536,0.0284484692561741,0.38851108794672,"Down","Hypo"
"77","APCDD1L","ENSG00000198768.11","protein_coding",-1.74232280716816,0.0420374536858263,0.502240097659196,"chr20","cg01096640","N_Shelf","Body",-1.86749381886463,3.53614858852655e-05,0.00873832014854816,"Down","Hypo"
"78","APCDD1L","ENSG00000198768.11","protein_coding",-1.74232280716816,0.0420374536858263,0.502240097659196,"chr20","cg14724471","Island","Body",-1.37099733233074,0.00927407511559294,0.228725323470507,"Down","Hypo"
"79","APCDD1L","ENSG00000198768.11","protein_coding",-1.74232280716816,0.0420374536858263,0.502240097659196,"chr20","cg03960424","Island","Body",-1.10172690735061,0.00410998557989037,0.149734024443851,"Down","Hypo"
"80","APCDD1L","ENSG00000198768.11","protein_coding",-1.74232280716816,0.0420374536858263,0.502240097659196,"chr20","cg14571130","Island","Body",-0.819787410291162,0.00618668725010284,0.185847594397323,"Down","Hypo"
"81","APCDD1L","ENSG00000198768.11","protein_coding",-1.74232280716816,0.0420374536858263,0.502240097659196,"chr20","cg24814191","Island","Body",-1.05263593414076,0.00508007074207096,0.16773473573574,"Down","Hypo"
"82","APCDD1L","ENSG00000198768.11","protein_coding",-1.74232280716816,0.0420374536858263,0.502240097659196,"chr20","cg18834039","Island","Body",-1.21221905350615,0.034170699132025,0.421983466356335,"Down","Hypo"
"83","APCDD1L","ENSG00000198768.11","protein_coding",-1.74232280716816,0.0420374536858263,0.502240097659196,"chr20","cg23487201","Island","TSS200",-1.62922614552373,0.0235927187228136,0.357493887716182,"Down","Hypo"
"84","APCDD1L","ENSG00000198768.11","protein_coding",-1.74232280716816,0.0420374536858263,0.502240097659196,"chr20","cg14546153","S_Shore","TSS1500",-1.88297057044358,0.0248670706341394,0.366294920708209,"Down","Hypo"
"85","APCDD1L","ENSG00000198768.11","protein_coding",-1.74232280716816,0.0420374536858263,0.502240097659196,"chr20","cg03053750","S_Shelf","Body",-1.13233607169512,0.00154076262918522,0.0872124106243072,"Down","Hypo"
"86","APOM","ENSG00000204444.11","protein_coding",1.14723723961848,0.000743106129923086,0.0715868025525803,"chr6","cg15132055","N_Shelf","Body",-0.566670524365129,0.042979251919245,0.463478139282519,"Up","Hypo"
"87","APOM","ENSG00000204444.11","protein_coding",1.14723723961848,0.000743106129923086,0.0715868025525803,"chr6","cg25669504","S_Shelf","TSS200",-0.54835043308885,0.0189662892828739,0.323813472155006,"Up","Hypo"
"88","APOM","ENSG00000204444.11","protein_coding",1.14723723961848,0.000743106129923086,0.0715868025525803,"chr6","cg14341418","S_Shelf","Body",-0.574405448498392,0.040696152992781,0.452961966452174,"Up","Hypo"
"89","ARHGEF1","ENSG00000076928.18","protein_coding",0.838148699334512,0.00117246596948311,0.095984069447782,"chr19","cg12168357","N_Shore","3'UTR",-0.857132391152126,0.0449601089391581,0.472213331953265,"Up","Hypo"
"90","ARSB","ENSG00000113273.17","protein_coding",-0.644957543862207,0.0440413105357528,0.511651313358193,"chr5","cg16560436","OpenSea","Body",-1.15145022333755,0.0411783608923007,0.454776591085884,"Down","Hypo"
"91","ARSB","ENSG00000113273.17","protein_coding",-0.644957543862207,0.0440413105357528,0.511651313358193,"chr5","cg17456851","OpenSea","Body",-2.02542141764639,1.15841390087762e-07,0.000151963993556223,"Down","Hypo"
"92","ARSB","ENSG00000113273.17","protein_coding",-0.644957543862207,0.0440413105357528,0.511651313358193,"chr5","cg08592163","OpenSea","Body",-1.73429055673686,6.45663957850923e-07,0.000542555384467571,"Down","Hypo"
"93","ARSB","ENSG00000113273.17","protein_coding",-0.644957543862207,0.0440413105357528,0.511651313358193,"chr5","cg10864794","OpenSea","Body",-1.28709859894752,0.00837957338678529,0.217482733764061,"Down","Hypo"
"94","ARSB","ENSG00000113273.17","protein_coding",-0.644957543862207,0.0440413105357528,0.511651313358193,"chr5","cg11577898","OpenSea","Body",-1.12857865188603,0.0250146989056825,0.366952182068648,"Down","Hypo"
"95","ARSB","ENSG00000113273.17","protein_coding",-0.644957543862207,0.0440413105357528,0.511651313358193,"chr5","cg10858308","OpenSea","Body",-1.62753205104248,1.88591170063927e-06,0.00118754023168145,"Down","Hypo"
"96","ARSB","ENSG00000113273.17","protein_coding",-0.644957543862207,0.0440413105357528,0.511651313358193,"chr5","cg23292766","OpenSea","3'UTR",-1.42886685286888,1.93004590393269e-06,0.0012047647877805,"Down","Hypo"
"97","ARSI","ENSG00000183876.9","protein_coding",-2.42005333027808,0.000220861880275088,0.0339266308632732,"chr5","cg06873106","Island","Body",-1.17406568063835,0.0459367924451229,0.47617044830292,"Down","Hypo"
"98","ARSI","ENSG00000183876.9","protein_coding",-2.42005333027808,0.000220861880275088,0.0339266308632732,"chr5","cg25652824","N_Shore","Body",-1.27701379146914,0.00473957793676276,0.161694397682264,"Down","Hypo"
"99","ARSI","ENSG00000183876.9","protein_coding",-2.42005333027808,0.000220861880275088,0.0339266308632732,"chr5","cg20873205","Island","Body",-1.02839119501562,0.0270829122022236,0.379876487702896,"Down","Hypo"
"100","ASGR2","ENSG00000161944.16","protein_coding",2.21638214542998,2.29296903630119e-06,0.00121232768001191,"chr17","cg18659586","OpenSea","Body",-1.17172886696579,0.0145461772537299,0.285639902629259,"Up","Hypo"
"101","ASGR2","ENSG00000161944.16","protein_coding",2.21638214542998,2.29296903630119e-06,0.00121232768001191,"chr17","cg26955290","OpenSea","Body",-1.49873642546443,0.0249002773769036,0.366471012922327,"Up","Hypo"
"102","ASGR2","ENSG00000161944.16","protein_coding",2.21638214542998,2.29296903630119e-06,0.00121232768001191,"chr17","cg19619206","OpenSea","5'UTR",-1.06526644403769,0.0160337775642259,0.300345350950405,"Up","Hypo"
"103","ASGR2","ENSG00000161944.16","protein_coding",2.21638214542998,2.29296903630119e-06,0.00121232768001191,"chr17","cg26661623","OpenSea","TSS1500",-1.39811087669153,0.0265530761775455,0.376621974636623,"Up","Hypo"
"104","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg16496219","OpenSea","Body",-0.65881855024711,0.0301139443535994,0.398267466943181,"Up","Hypo"
"105","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg11869968","OpenSea","Body",-0.478363027779445,0.01831208409113,0.318885692307804,"Up","Hypo"
"106","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg21272454","N_Shore","TSS200",0.431790297551852,0.0233899759322081,0.356125581566235,"Up","Hyper"
"107","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg14305889","OpenSea","Body",-0.68830942165137,0.02987700385077,0.396787647390309,"Up","Hypo"
"108","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg08412941","N_Shelf","Body",0.473591218739553,0.0163653335870136,0.30312377959625,"Up","Hyper"
"109","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg06976485","OpenSea","Body",-1.37056256452742,0.00504103622407599,0.167020630727998,"Up","Hypo"
"110","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg23782145","OpenSea","Body",-1.04890880527608,0.0182496719608913,0.318307156667001,"Up","Hypo"
"111","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg12735838","OpenSea","Body",-1.60188161104822,0.00876292745418895,0.221950101899492,"Up","Hypo"
"112","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg19004565","OpenSea","Body",-1.0089975851517,0.0129278553320347,0.270298580528362,"Up","Hypo"
"113","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg13586610","OpenSea","Body",-1.14728009864724,0.00483710836431347,0.163621719154982,"Up","Hypo"
"114","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg06609004","OpenSea","Body",-0.935345273938797,0.0385789763693678,0.443634429814668,"Up","Hypo"
"115","ATF6B","ENSG00000213676.13","protein_coding",0.421445444670116,0.0386102102195347,0.489062662780773,"chr6","cg23897286","OpenSea","Body",-0.806014029181602,0.000846453610573482,0.0617828348471357,"Up","Hypo"
"116","ATG16L2","ENSG00000168010.11","protein_coding",0.644243070073444,0.0446281014626373,0.512954322835615,"chr11","cg15868208","S_Shelf","Body",-1.02112686287643,0.00413105977104495,0.15007848775319,"Up","Hypo"
"117","ATG2A","ENSG00000110046.13","protein_coding",0.555024012664688,0.010377562045561,0.282175921442531,"chr11","cg03975537","OpenSea","Body",-0.745155366342209,0.00143400862523088,0.0837530867120062,"Up","Hypo"
"118","ATP13A5","ENSG00000187527.11","protein_coding",-4.37349345588678,0.000658469908442476,0.0664423866847772,"chr3","cg22876250","OpenSea","TSS200",1.10417836333324,0.0147615954936937,0.287900406031486,"Down","Hyper"
"119","ATP13A5","ENSG00000187527.11","protein_coding",-4.37349345588678,0.000658469908442476,0.0664423866847772,"chr3","cg06318062","OpenSea","TSS200",1.39336947786371,0.00728106094818099,0.20234335798266,"Down","Hyper"
"120","ATP13A5","ENSG00000187527.11","protein_coding",-4.37349345588678,0.000658469908442476,0.0664423866847772,"chr3","cg13020760","OpenSea","1stExon",1.27020769032713,0.00526246509076232,0.170867555496522,"Down","Hyper"
"121","ATP13A5","ENSG00000187527.11","protein_coding",-4.37349345588678,0.000658469908442476,0.0664423866847772,"chr3","cg06650659","OpenSea","TSS200",1.18926505939542,0.0366841361420876,0.434613704661151,"Down","Hyper"
"122","ATXN2L","ENSG00000168488.18","protein_coding",0.456416522044467,0.021327544159182,0.385172168249585,"chr16","cg05785839","OpenSea","3'UTR",-0.676262830922633,0.00229870934869147,0.109127928067905,"Up","Hypo"
"123","ATXN2L","ENSG00000168488.18","protein_coding",0.456416522044467,0.021327544159182,0.385172168249585,"chr16","cg23051598","Island","5'UTR",-0.993200712069307,3.87572987855231e-05,0.00928372762948976,"Up","Hypo"
"124","BAHD1","ENSG00000140320.12","protein_coding",0.943693668233371,3.97186139636193e-06,0.00175595023586479,"chr15","cg18478794","OpenSea","Body",-0.597901402081969,0.00889973507514205,0.223677610448646,"Up","Hypo"
"125","BAHD1","ENSG00000140320.12","protein_coding",0.943693668233371,3.97186139636193e-06,0.00175595023586479,"chr15","cg04170294","N_Shore","TSS1500",0.658945885490543,0.0153172505723649,0.293596301436709,"Up","Hyper"
"126","BARX2","ENSG00000043039.7","protein_coding",-2.45382720534383,0.0293334574818512,0.437015158181057,"chr11","cg24095303","S_Shelf","Body",1.53883509572187,0.043611313277927,0.466192389721788,"Down","Hyper"
"127","BCAT1","ENSG00000060982.15","protein_coding",-1.25320503185105,0.0335129914524006,0.461709420135924,"chr12","cg21500300","S_Shore","TSS1500",-1.34416820942993,0.0300658559851568,0.397922352458063,"Down","Hypo"
