"GeneSymbol","chr","Aberration","q-value","AberrantRegion","GeneRegion"
"TDPX2",9,"Amp",0.188822488192538,"9:66189025-1","9:12972842-12973437"
"RP11-382H24.2",9,"Amp",0.188822488192538,"9:66189025-1","9:13021693-13022891"
"MPDZ",9,"Amp",0.188822488192538,"9:66189025-1","9:13105703-13279589"
"RP11-272P10.2",9,"Amp",0.188822488192538,"9:66189025-1","9:13274509-13279186"
"RP11-272P10.3",9,"Amp",0.188822488192538,"9:66189025-1","9:13322805-13323449"
"RP11-536O18.2",9,"Amp",0.188822488192538,"9:66189025-1","9:13406379-13433052"
"RP11-536O18.1",9,"Amp",0.188822488192538,"9:66189025-1","9:13446490-13487510"
"LINC00583",9,"Amp",0.188822488192538,"9:66189025-1","9:13927970-13945609"
"PES1P2",9,"Amp",0.188822488192538,"9:66189025-1","9:13986174-13987908"
"RP11-284P20.3",9,"Amp",0.188822488192538,"9:66189025-1","9:14025970-14030114"
"RPL3P11",9,"Amp",0.188822488192538,"9:66189025-1","9:14040715-14041860"
"RP11-280O24.1",9,"Amp",0.188822488192538,"9:66189025-1","9:14068931-14069416"
"NFIB",9,"Amp",0.188822488192538,"9:66189025-1","9:14081842-14398982"
"RP11-280O24.3",9,"Amp",0.188822488192538,"9:66189025-1","9:14204247-14205038"
"RP11-120J1.1",9,"Amp",0.188822488192538,"9:66189025-1","9:14317084-14357907"
"RP11-408A13.2",9,"Amp",0.188822488192538,"9:66189025-1","9:14531914-14532040"
"RP11-408A13.3",9,"Amp",0.188822488192538,"9:66189025-1","9:14586767-14587324"
"RP11-408A13.4",9,"Amp",0.188822488192538,"9:66189025-1","9:14588795-14590063"
"RP11-408A13.1",9,"Amp",0.188822488192538,"9:66189025-1","9:14593575-14594198"
"ZDHHC21",9,"Amp",0.188822488192538,"9:66189025-1","9:14611069-14693469"
"CER1",9,"Amp",0.188822488192538,"9:66189025-1","9:14719722-14722715"
"FREM1",9,"Amp",0.188822488192538,"9:66189025-1","9:14734664-14910993"
"RNU6-1260P",9,"Amp",0.188822488192538,"9:66189025-1","9:14850427-14850533"
"LDHAP4",9,"Amp",0.188822488192538,"9:66189025-1","9:14921335-14922332"
"RP11-54D18.3",9,"Amp",0.188822488192538,"9:66189025-1","9:14987300-15146399"
"RP11-54D18.2",9,"Amp",0.188822488192538,"9:66189025-1","9:14993310-15019727"
"RP11-54D18.4",9,"Amp",0.188822488192538,"9:66189025-1","9:15055055-15056050"
"RNU6-559P",9,"Amp",0.188822488192538,"9:66189025-1","9:15143287-15143384"
"TTC39B",9,"Amp",0.188822488192538,"9:66189025-1","9:15163620-15307358"
"RN7SL157P",9,"Amp",0.188822488192538,"9:66189025-1","9:15348166-15348453"
"RPL7P33",9,"Amp",0.188822488192538,"9:66189025-1","9:15361391-15362132"
"SNAPC3",9,"Amp",0.188822488192538,"9:66189025-1","9:15422702-15465951"
"RNU6-319P",9,"Amp",0.188822488192538,"9:66189025-1","9:15431897-15432004"
"PSIP1",9,"Amp",0.188822488192538,"9:66189025-1","9:15464064-15511017"
"RN7SL98P",9,"Amp",0.188822488192538,"9:66189025-1","9:15525782-15526079"
"FTH1P12",9,"Amp",0.188822488192538,"9:66189025-1","9:15527131-15527681"
"RNU6-246P",9,"Amp",0.188822488192538,"9:66189025-1","9:15544186-15544292"
"CCDC171",9,"Amp",0.188822488192538,"9:66189025-1","9:15552895-16061661"
"HMGN2P16",9,"Amp",0.188822488192538,"9:66189025-1","9:15588353-15588613"
"RNU6-14P",9,"Amp",0.188822488192538,"9:66189025-1","9:15776179-15776284"
"C9orf92",9,"Amp",0.188822488192538,"9:66189025-1","9:16203933-16276311"
"BNC2",9,"Amp",0.188822488192538,"9:66189025-1","9:16409501-16870841"
"RP11-183I6.2",9,"Amp",0.188822488192538,"9:66189025-1","9:16473186-16476235"
"RP11-62F24.1",9,"Amp",0.188822488192538,"9:66189025-1","9:16625674-16626388"
"RP11-62F24.2",9,"Amp",0.188822488192538,"9:66189025-1","9:16726812-16727522"
"RP11-335H2.2",9,"Amp",0.188822488192538,"9:66189025-1","9:16775571-16775843"
"RP11-132E11.2",9,"Amp",0.188822488192538,"9:66189025-1","9:17048917-17112813"
"RN7SL720P",9,"Amp",0.188822488192538,"9:66189025-1","9:17053899-17054200"
"RP11-132E11.3",9,"Amp",0.188822488192538,"9:66189025-1","9:17096299-17096444"
"RP11-132E11.4",9,"Amp",0.188822488192538,"9:66189025-1","9:17108302-17108602"
"CNTLN",9,"Amp",0.188822488192538,"9:66189025-1","9:17134980-17503921"
"RP11-492A12.2",9,"Amp",0.188822488192538,"9:66189025-1","9:17447143-17448541"
"SH3GL2",9,"Amp",0.188822488192538,"9:66189025-1","9:17579080-17797127"
"PABPC1P11",9,"Amp",0.188822488192538,"9:66189025-1","9:17589159-17591316"
"RP11-570H19.2",9,"Amp",0.188822488192538,"9:66189025-1","9:18360595-18362218"
"ADAMTSL1",9,"Amp",0.188822488192538,"9:66189025-1","9:18473892-18910948"
"MIR3152",9,"Amp",0.188822488192538,"9:66189025-1","9:18573304-18573377"
"RN7SKP258",9,"Amp",0.188822488192538,"9:66189025-1","9:18651145-18651448"
"RP11-503K16.2",9,"Amp",0.188822488192538,"9:66189025-1","9:18717972-18718524"
"AL158150.1",9,"Amp",0.188822488192538,"9:66189025-1","9:18834835-18834925"
"FAM154A",9,"Amp",0.188822488192538,"9:66189025-1","9:18927656-19033251"
"RP11-296P7.4",9,"Amp",0.188822488192538,"9:66189025-1","9:19026890-19028127"
"RRAGA",9,"Amp",0.188822488192538,"9:66189025-1","9:19049372-19051019"
"HAUS6",9,"Amp",0.188822488192538,"9:66189025-1","9:19053141-19103117"
"SCARNA8",9,"Amp",0.188822488192538,"9:66189025-1","9:19063654-19063784"
"RNU6-264P",9,"Amp",0.188822488192538,"9:66189025-1","9:19073841-19073944"
"Y_RNA",9,"Amp",0.188822488192538,"9:66189025-1","9:19089591-19089686"
"RN7SL158P",9,"Amp",0.188822488192538,"9:66189025-1","9:19106479-19106788"
"PLIN2",9,"Amp",0.188822488192538,"9:66189025-1","9:19108373-19149288"
"RP11-146N23.1",9,"Amp",0.188822488192538,"9:66189025-1","9:19200333-19201044"
"DENND4C",9,"Amp",0.188822488192538,"9:66189025-1","9:19230433-19374139"
"RP11-146N23.4",9,"Amp",0.188822488192538,"9:66189025-1","9:19291335-19292574"
"snoU13",9,"Amp",0.188822488192538,"9:66189025-1","9:19310689-19310786"
"RP11-513M16.7",9,"Amp",0.188822488192538,"9:66189025-1","9:19371384-19371943"
"RP11-513M16.8",9,"Amp",0.188822488192538,"9:66189025-1","9:19375449-19375994"
"RPS6",9,"Amp",0.188822488192538,"9:66189025-1","9:19375713-19380252"
"NDUFA5P3",9,"Amp",0.188822488192538,"9:66189025-1","9:19383215-19383885"
"ACER2",9,"Amp",0.188822488192538,"9:66189025-1","9:19408925-19452018"
"RP11-363E7.4",9,"Amp",0.188822488192538,"9:66189025-1","9:19453207-19455171"
"RP11-363E7.3",9,"Amp",0.188822488192538,"9:66189025-1","9:19460924-19464522"
"SLC24A2",9,"Amp",0.188822488192538,"9:66189025-1","9:19507450-19786926"
"RP11-252O2.2",9,"Amp",0.188822488192538,"9:66189025-1","9:19705336-19705653"
"AL158077.1",9,"Amp",0.188822488192538,"9:66189025-1","9:19829751-19829845"
"RP11-378I6.1",9,"Amp",0.188822488192538,"9:66189025-1","9:19926092-19929935"
"RP11-378I6.2",9,"Amp",0.188822488192538,"9:66189025-1","9:19957392-19958145"
"AL512635.1",9,"Amp",0.188822488192538,"9:66189025-1","9:20295002-20295086"
"RP11-15P13.1",9,"Amp",0.188822488192538,"9:66189025-1","9:20331444-20332275"
"MLLT3",9,"Amp",0.188822488192538,"9:66189025-1","9:20341663-20622542"
"MIR4473",9,"Amp",0.188822488192538,"9:66189025-1","9:20411146-20411236"
"RNU4-26P",9,"Amp",0.188822488192538,"9:66189025-1","9:20418319-20418425"
"MIR4474",9,"Amp",0.188822488192538,"9:66189025-1","9:20502263-20502340"
"RP11-73E6.2",9,"Amp",0.188822488192538,"9:66189025-1","9:20532550-20533337"
"AL163193.1",9,"Amp",0.188822488192538,"9:66189025-1","9:20576216-20576300"
"FOCAD",9,"Amp",0.188822488192538,"9:66189025-1","9:20658308-20995954"
"RP11-4E23.2",9,"Amp",0.188822488192538,"9:66189025-1","9:20683303-20684687"
"MIR491",9,"Amp",0.188822488192538,"9:66189025-1","9:20716104-20716187"
"SNORA30",9,"Amp",0.188822488192538,"9:66189025-1","9:20786926-20787054"
"PTPLAD2",9,"Amp",0.188822488192538,"9:66189025-1","9:20995306-21031635"
"IFNNP1",9,"Amp",0.188822488192538,"9:66189025-1","9:21058770-21059322"
"IFNB1",9,"Amp",0.188822488192538,"9:66189025-1","9:21077104-21077943"
"IFNWP4",9,"Amp",0.188822488192538,"9:66189025-1","9:21106542-21106835"
"IFNW1",9,"Amp",0.188822488192538,"9:66189025-1","9:21140631-21142144"
"Y_RNA",9,"Amp",0.188822488192538,"9:66189025-1","9:21160234-21160335"
"IFNA21",9,"Amp",0.188822488192538,"9:66189025-1","9:21165636-21166659"
"IFNWP15",9,"Amp",0.188822488192538,"9:66189025-1","9:21178588-21179187"
"IFNA4",9,"Amp",0.188822488192538,"9:66189025-1","9:21186617-21187598"
"IFNWP9",9,"Amp",0.188822488192538,"9:66189025-1","9:21190653-21191243"
"IFNA7",9,"Amp",0.188822488192538,"9:66189025-1","9:21201468-21202204"
"IFNA10",9,"Amp",0.188822488192538,"9:66189025-1","9:21206180-21207142"
"IFNWP18",9,"Amp",0.188822488192538,"9:66189025-1","9:21209188-21209778"
"IFNA16",9,"Amp",0.188822488192538,"9:66189025-1","9:21216372-21217310"
"IFNA17",9,"Amp",0.188822488192538,"9:66189025-1","9:21227242-21228221"
"IFNWP5",9,"Amp",0.188822488192538,"9:66189025-1","9:21231265-21231852"
"IFNA14",9,"Amp",0.188822488192538,"9:66189025-1","9:21239201-21239978"
"IFNA22P",9,"Amp",0.188822488192538,"9:66189025-1","9:21278049-21278618"
"IFNA5",9,"Amp",0.188822488192538,"9:66189025-1","9:21304613-21305312"
"IFNA20P",9,"Amp",0.188822488192538,"9:66189025-1","9:21321299-21321826"
"KLHL9",9,"Amp",0.188822488192538,"9:66189025-1","9:21329670-21335379"
"IFNA6",9,"Amp",0.188822488192538,"9:66189025-1","9:21349834-21351377"
"IFNA13",9,"Amp",0.188822488192538,"9:66189025-1","9:21367371-21368075"
"IFNA2",9,"Amp",0.188822488192538,"9:66189025-1","9:21384254-21385396"
"RP11-354P17.15",9,"Amp",0.188822488192538,"9:66189025-1","9:21394887-21396345"
"IFNA11P",9,"Amp",0.188822488192538,"9:66189025-1","9:21398613-21399138"
"IFNA12P",9,"Amp",0.188822488192538,"9:66189025-1","9:21403080-21403650"
"IFNA8",9,"Amp",0.188822488192538,"9:66189025-1","9:21409146-21410184"
"IFNWP2",9,"Amp",0.188822488192538,"9:66189025-1","9:21420233-21420812"
"IFNA1",9,"Amp",0.188822488192538,"9:66189025-1","9:21440440-21441315"
"IFNWP19",9,"Amp",0.188822488192538,"9:66189025-1","9:21455483-21456048"
"MIR31HG",9,"Amp",0.188822488192538,"9:66189025-1","9:21455641-21559668"
"IFNE",9,"Amp",0.188822488192538,"9:66189025-1","9:21480841-21482312"
"MIR31",9,"Amp",0.188822488192538,"9:66189025-1","9:21512114-21512184"
"SNORD39",9,"Amp",0.188822488192538,"9:66189025-1","9:21524306-21524381"
"RP11-344A7.1",9,"Amp",0.188822488192538,"9:66189025-1","9:21638284-21638675"
"KHSRPP1",9,"Amp",0.188822488192538,"9:66189025-1","9:21695175-21696942"
"RN7SL151P",9,"Amp",0.188822488192538,"9:66189025-1","9:21699313-21699569"
"MTAP",9,"Amp",0.188822488192538,"9:66189025-1","9:21802542-21931646"
"RP11-145E5.5",9,"Amp",0.188822488192538,"9:66189025-1","9:21802635-22032985"
"AL359922.1",9,"Amp",0.188822488192538,"9:66189025-1","9:21808057-21808123"
"TUBB8P1",9,"Amp",0.188822488192538,"9:66189025-1","9:21811620-21812346"
"RP11-70L8.4",9,"Amp",0.188822488192538,"9:66189025-1","9:21858909-21861925"
"RP11-149I2.5",9,"Amp",0.188822488192538,"9:66189025-1","9:21929456-21931072"
"C9orf53",9,"Amp",0.188822488192538,"9:66189025-1","9:21967137-21967738"
"CDKN2A",9,"Amp",0.188822488192538,"9:66189025-1","9:21967751-21995300"
"CDKN2B-AS1",9,"Amp",0.188822488192538,"9:66189025-1","9:21994777-22121096"
"RP11-149I2.4",9,"Amp",0.188822488192538,"9:66189025-1","9:21995481-21996012"
"CDKN2B",9,"Amp",0.188822488192538,"9:66189025-1","9:22002902-22009362"
"UBA52P6",9,"Amp",0.188822488192538,"9:66189025-1","9:22012154-22012535"
"RP11-408N14.1",9,"Amp",0.188822488192538,"9:66189025-1","9:22203989-22214671"
"DMRTA1",9,"Amp",0.188822488192538,"9:66189025-1","9:22446840-22455739"
"RP11-399D6.2",9,"Amp",0.188822488192538,"9:66189025-1","9:22646199-22824212"
"RP11-370B11.1",9,"Amp",0.188822488192538,"9:66189025-1","9:22747699-22748233"
"RP11-370B11.3",9,"Amp",0.188822488192538,"9:66189025-1","9:22767174-22768315"
"AL391117.1",9,"Amp",0.188822488192538,"9:66189025-1","9:22953018-22953102"
"SUMO2P2",9,"Amp",0.188822488192538,"9:66189025-1","9:23632104-23632358"
"RP11-315I14.2",9,"Amp",0.188822488192538,"9:66189025-1","9:23671786-23672397"
"RP11-315I14.5",9,"Amp",0.188822488192538,"9:66189025-1","9:23681892-23682660"
"ELAVL2",9,"Amp",0.188822488192538,"9:66189025-1","9:23690102-23826335"
"RP11-321L2.1",9,"Amp",0.188822488192538,"9:66189025-1","9:23829668-23849912"
"RP11-321L2.2",9,"Amp",0.188822488192538,"9:66189025-1","9:23894988-23898052"
"IZUMO3",9,"Amp",0.188822488192538,"9:66189025-1","9:24542950-24545944"
"RP11-20A20.2",9,"Amp",0.188822488192538,"9:66189025-1","9:24545950-24591991"
"AL157830.1",9,"Amp",0.188822488192538,"9:66189025-1","9:24872710-24872796"
"RMRPP5",9,"Amp",0.188822488192538,"9:66189025-1","9:24905467-24905733"
"RN7SKP120",9,"Amp",0.188822488192538,"9:66189025-1","9:25088809-25089149"
"TUSC1",9,"Amp",0.188822488192538,"9:66189025-1","9:25676396-25678856"
"RP11-33G16.1",9,"Amp",0.188822488192538,"9:66189025-1","9:25780054-25784560"
"RP11-477G9.1",9,"Amp",0.188822488192538,"9:66189025-1","9:25937910-25938432"
"AL442639.1",9,"Amp",0.188822488192538,"9:66189025-1","9:26614038-26614123"
"RP11-18A15.1",9,"Amp",0.188822488192538,"9:66189025-1","9:26746951-26786872"
"SNORA31",9,"Amp",0.188822488192538,"9:66189025-1","9:26796171-26796302"
"RP11-337A23.6",9,"Amp",0.188822488192538,"9:66189025-1","9:26801731-26805860"
"CAAP1",9,"Amp",0.188822488192538,"9:66189025-1","9:26840683-26892802"
"RP11-337A23.5",9,"Amp",0.188822488192538,"9:66189025-1","9:26880176-26880547"
"RN7SL100P",9,"Amp",0.188822488192538,"9:66189025-1","9:26895676-26895968"
"PLAA",9,"Amp",0.188822488192538,"9:66189025-1","9:26904081-26947461"
"IFT74",9,"Amp",0.188822488192538,"9:66189025-1","9:26947037-27062928"
"RP11-337A23.3",9,"Amp",0.188822488192538,"9:66189025-1","9:26955778-26956293"
"LRRC19",9,"Amp",0.188822488192538,"9:66189025-1","9:26993134-27005691"
"RP11-56F10.3",9,"Amp",0.188822488192538,"9:66189025-1","9:27102628-27104726"
"TEK",9,"Amp",0.188822488192538,"9:66189025-1","9:27109139-27230173"
"RNA5SP280",9,"Amp",0.188822488192538,"9:66189025-1","9:27198285-27198399"
"RP11-179D22.1",9,"Amp",0.188822488192538,"9:66189025-1","9:27210325-27210624"
"LINC00032",9,"Amp",0.188822488192538,"9:66189025-1","9:27245682-27282791"
"EQTN",9,"Amp",0.188822488192538,"9:66189025-1","9:27284656-27297137"
"MOB3B",9,"Amp",0.188822488192538,"9:66189025-1","9:27325207-27529779"
"RP11-298E2.2",9,"Amp",0.188822488192538,"9:66189025-1","9:27391732-27397561"
"IFNK",9,"Amp",0.188822488192538,"9:66189025-1","9:27524312-27526496"
"C9orf72",9,"Amp",0.188822488192538,"9:66189025-1","9:27546544-27573864"
"CTAGE12P",9,"Amp",0.188822488192538,"9:66189025-1","9:27608380-27610743"
"RP11-575I8.1",9,"Amp",0.188822488192538,"9:66189025-1","9:27829274-27844479"
"RP11-438B23.2",9,"Amp",0.188822488192538,"9:66189025-1","9:27937615-27944495"
"LINGO2",9,"Amp",0.188822488192538,"9:66189025-1","9:27948076-28670283"
"RP11-20P5.2",9,"Amp",0.188822488192538,"9:66189025-1","9:28148209-28149234"
"RP11-32I2.1",9,"Amp",0.188822488192538,"9:66189025-1","9:28598666-28599290"
"MIR876",9,"Amp",0.188822488192538,"9:66189025-1","9:28863624-28863704"
"MIR873",9,"Amp",0.188822488192538,"9:66189025-1","9:28888877-28888953"
"RP11-373A6.1",9,"Amp",0.188822488192538,"9:66189025-1","9:29254073-29254424"
"RP11-48L13.1",9,"Amp",0.188822488192538,"9:66189025-1","9:29636484-29636851"
"RP11-460C6.1",9,"Amp",0.188822488192538,"9:66189025-1","9:29824740-29826709"
"snoU13",9,"Amp",0.188822488192538,"9:66189025-1","9:30178473-30178575"
"RP11-255N24.4",9,"Amp",0.188822488192538,"9:66189025-1","9:30558878-30559479"
"RP11-255N24.1",9,"Amp",0.188822488192538,"9:66189025-1","9:30670962-30671964"
"RBMXP2",9,"Amp",0.188822488192538,"9:66189025-1","9:30689103-30690270"
